,album,almond,altar,antenna,armor,bean,beanie,beet,bottle,bread,bun,butter,cabbage,can,coaster,coat,coin,deer,dryer,fire,foot,fossil,frame,gate,gift,goggles,graffiti,grill,hamster,handkerchief,jet,ketchup,knot,leash,leopard,lizard,lobster,man,meat,missile,mitten,money,napkin,net,notebook,organ,outlet,oyster,parachute,parrot,pea,peeler,pickle,pocket,puddle,raisin,raspberry,recorder,rock,root,rose,sandal,seal,ship,taxi,treasure,trumpet,van,volleyball,wall,whip,yacht
bun,0.03928356242929287,0.018400595894229932,0.14910346700340926,0.056715110285305625,0.11730762701979225,0.03539823008849541,0.07768865703712113,0.08849557522123874,0.05832179385631675,0.08895051213205463,0.0,0.05309734513274322,0.08773928424538602,0.09280164817305703,0.2174605630952764,0.24018699092094042,0.1533512184547623,0.20589525826204802,0.17173369394480809,0.23801609660928635,0.21224192033015943,0.17097497636796655,0.12955443959599566,0.130972345121527,0.17510296393965774,0.13160844208471134,0.14521189555185898,0.2097840797475783,0.10532907437803474,0.18936139016685594,0.14818846043432543,0.15854055876719053,0.08234938394348756,0.239624374769004,0.08468570816112553,0.15586259468852248,0.11802008505850081,0.067831139510799,0.054408948997847206,0.0816627467124953,0.029931096528296952,0.051147323426678604,0.05882889426363147,0.08762433927979996,0.12039544570627614,0.12860821615027307,0.12012066326865778,0.1916316603887055,0.13058672860822318,0.09487692129157388,0.16186046740044835,0.10949192284263276,0.11491676909084325,0.13732922957891314,0.04953046846125497,0.16933887925741253,0.16452521631729145,0.22146264482441824,0.2579192567887971,0.2474233052931223,0.29489848844799627,0.08511900197508537,0.2139063409688413,0.24179767778486438,0.1782694776386442,0.18318192276279333,0.05007461659159529,0.07276994027944239,0.099146752116132,0.28817273191283743,0.24742330529312218,0.15509509009317435
butter,0.0938697236549011,0.09560504340816689,0.13099928545029027,0.11010859460877898,0.21538455735092654,0.08849557522123874,0.1307713242580063,0.03539823008849541,0.04697627330036869,0.08895051213205463,0.05309734513274322,0.0,0.04972842108894382,0.11231129014782992,0.13383039426576393,0.1822964759434883,0.1822964759434883,0.2227911038309407,0.19888996627448652,0.21920167924161438,0.11252570771372394,0.13643226704996514,0.16346790298835945,0.10360139536157509,0.08976878779548425,0.13160844208471134,0.12055454638508578,0.23680000864509698,0.07135422910125122,0.1298649784359831,0.09733404016174785,0.06399455413429067,0.10088778022745759,0.22152019321588512,0.05871934527207945,0.15586259468852248,0.06219857145460839,0.18755925003234775,0.07276994027944239,0.11588649528221606,0.08536360529810838,0.15731265786844884,0.07823448407262878,0.10452018484869252,0.11177187164457292,0.18482704091477165,0.10099285160058502,0.1349040576089655,0.08733233699669207,0.0611456264328748,0.10864525898142918,0.09113093156103758,0.07997927313390285,0.056272915579616556,0.03866795952938362,0.22180168688326007,0.18762590158040782,0.22146264482441824,0.23786302048579167,0.2286088879254503,0.32150609265750585,0.10305784507361304,0.1964375929903711,0.1481924528200329,0.09782033558928072,0.15595465352155313,0.025717555478559362,0.12785291412422795,0.12382766301705983,0.34223556240047004,0.2286088879254502,0.1358927057771101
cabbage,0.10319056572200436,0.11175713683248756,0.16406302428828057,0.11609634652306822,0.2101323777416224,0.10674471582360723,0.11649173087609654,0.06873385266716503,0.061916848035314165,0.10616558337953386,0.08773928424538602,0.04972842108894382,0.0,0.07821813415149359,0.12121691508327992,0.1607963476027786,0.1452555392250523,0.20171348742737405,0.15434282689628365,0.161573388021665,0.1433923554333012,0.12215128882965742,0.15635084108528363,0.05948434308820183,0.07603970653133296,0.05732407588437127,0.08212264893739396,0.18047059528500742,0.08793943132991233,0.07362898075008684,0.07849292647697104,0.05582539899658234,0.13406039652327506,0.14462262950428706,0.1007777899259944,0.1409108153725993,0.09488296355142845,0.21024437425918063,0.11277285227411593,0.11188232694057898,0.11309523809523803,0.15924213099499496,0.08313433915609136,0.14728486157014953,0.1110348934141745,0.14880892916627986,0.10139355663801308,0.131968511980729,0.08035210303609752,0.08844076811424284,0.12857142857142845,0.11277285227411593,0.06834959542387331,0.06744112880876174,0.061028931933115094,0.17844902512403127,0.14833849631652896,0.18873491989593738,0.17084380241114983,0.25248711703136406,0.27142857142857124,0.10427732558454972,0.17464527916745842,0.11547737233906141,0.06825619812296169,0.11558591826150344,0.08022357347041742,0.11277285227411593,0.10333099955049585,0.3033635253363006,0.21208101524927558,0.08242546503791648
can,0.12151741425792417,0.07603478977054001,0.18179806854469183,0.06812348873961838,0.15674443737439958,0.09280164817305703,0.10036652196564366,0.11231129014782992,0.09956022474775961,0.15470017846513295,0.09280164817305703,0.11231129014782992,0.07821813415149359,0.0,0.15058016984131728,0.1624620927177335,0.09864968073432268,0.19915930402729332,0.146874815372819,0.22228622895218086,0.2195917153608904,0.20039879457760967,0.17758206556538303,0.0722462144870879,0.1377520181634172,0.10554527842184214,0.11213087579743919,0.17361839845013893,0.08870950503434805,0.09004165284976495,0.15915157633115007,0.11415068406897655,0.07021763297742689,0.20175421321433362,0.1484780650301677,0.19450271037020528,0.15086167630002045,0.12330447627336738,0.07911527657631068,0.1260453972365987,0.06512464173887278,0.10036652196564366,0.02672405154698898,0.1060382928676763,0.10646226355277655,0.12622699591208963,0.10390931128128567,0.17147034568804276,0.1370084760492809,0.11383305259169374,0.16411144437828618,0.13983295064820223,0.0885630807024953,0.08737449922791529,0.1079603332670177,0.17111080747723706,0.18091557250537071,0.18244613828529876,0.13779250784350505,0.25339477979409364,0.3107585593996395,0.11017481699775133,0.210515907932443,0.20550976445480218,0.08154236032079798,0.1746568954559372,0.08714552206197068,0.13983295064820223,0.17022800916430825,0.334542874889328,0.25339477979409364,0.06866573533193632
coaster,0.26307051952436367,0.23689987244269595,0.1262276063311033,0.19807886550255482,0.27176268066798304,0.24135489704656565,0.22962074797960186,0.1577247282170533,0.15374726292043062,0.1726635548425598,0.2174605630952764,0.13383039426576393,0.12121691508327992,0.15058016984131728,0.0,0.03284518669085679,0.10122987046019005,0.18454621201873944,0.16594453331605308,0.21259921259881898,0.06439193560385426,0.16447973320470233,0.20640739906603667,0.09468580739296772,0.09277096820646669,0.12553882633350444,0.08734967236251223,0.16569588747372777,0.13999270201080838,0.08633801337340752,0.16326735446377283,0.074610506210124,0.19912356183122393,0.19955116384177995,0.18934467350683748,0.2048238702083519,0.16349611171775602,0.38231756413543705,0.20059065583446545,0.16834451009450846,0.18429258662839731,0.2654523410968298,0.15511044123712825,0.19595116010239344,0.05408079245933395,0.11959372595757134,0.09296301305261567,0.0618465131923327,0.06860420629512554,0.08923488892162568,0.20075640598085154,0.18819671251406955,0.08811118076928226,0.08939901200619793,0.13478202137401551,0.20025238252639566,0.19174689245298637,0.10443189137955622,0.10647490422809402,0.1427491427487142,0.16483534557549662,0.182643378012185,0.19227089503485972,0.15964050064823399,0.0768256705467888,0.1316010690589352,0.10668501985501966,0.2873482590772366,0.19476746678110224,0.2397246258299568,0.2062492062488096,0.13155295566326897
coat,0.2813717279777601,0.2514544355980678,0.18578808191206608,0.23231095818211678,0.25415998048815547,0.26913224840966643,0.23497129356875113,0.2112417334322143,0.192877323745679,0.21751523010326013,0.24018699092094042,0.1822964759434883,0.1607963476027786,0.1624620927177335,0.03284518669085679,0.0,0.07100591715976312,0.21249982957490976,0.1672832655918859,0.23076923076923073,0.14384786614870937,0.2561966946522115,0.237393140455322,0.09915178646167233,0.15684848328710854,0.13858318114014878,0.10613354203139946,0.1715867400564558,0.23138263029855033,0.1364549466463273,0.2670848434282497,0.13412126685360193,0.25721331338384057,0.2894150533050758,0.2674688677750392,0.3045947186567123,0.2742373705660667,0.4055944055944055,0.2418007125553706,0.22575165853785994,0.2113039748303892,0.25667423559516966,0.18279701257957126,0.26776299942930204,0.03394081467026955,0.08978744366073099,0.12802099527767064,0.13025573679491265,0.10515750817276304,0.12656370856332777,0.2167432577625934,0.2418007125553706,0.1000918226804407,0.10521954634254282,0.1739449994671507,0.2313925103604827,0.22238176638344498,0.09970151120784909,0.07339688660830834,0.15384615384615374,0.16235042844055125,0.266567239041852,0.30007141764034284,0.24224090899393114,0.14481388950586327,0.2151998511828349,0.15353367491895165,0.36191149076442075,0.22636940020981522,0.19689949931457296,0.16923076923076918,0.14424877575844097
coin,0.18317407590018697,0.15224960176166735,0.1561803757997775,0.12316085744971617,0.15792255861565951,0.1533512184547623,0.1264565834366591,0.1822964759434883,0.16504550732311618,0.14248244394877818,0.1533512184547623,0.1822964759434883,0.1452555392250523,0.09864968073432268,0.10122987046019005,0.07100591715976312,0.0,0.12960507479332128,0.10066592683923659,0.18461538461538463,0.17646318553352036,0.2467814629389482,0.13571222584936493,0.05438914231069958,0.14521880719451696,0.12306215737690829,0.09269194115969115,0.09426816912839153,0.1943408293490828,0.12429234026106417,0.21510504508982786,0.14958338708835905,0.196577665496807,0.23019964108049884,0.19315411523047799,0.21187401447760734,0.25597919120923807,0.23776223776223748,0.15171762889858298,0.12314043256094986,0.09345284463263137,0.1264565834366591,0.08758889754029808,0.1572366597205176,0.03394081467026944,0.0438171125324851,0.08891879775649003,0.10706255644277685,0.10515750817276293,0.09898150988638021,0.19498612603377663,0.1817453234508455,0.07152330911474036,0.15256242748843996,0.1472980639660909,0.10984527944074518,0.14682371939236272,0.06956599693865584,0.1061969968168639,0.18461538461538451,0.16235042844055136,0.19322396294603705,0.2429343905089424,0.211624380064393,0.15421153907173302,0.159540266160341,0.13361682021116228,0.2418007125553706,0.15909717414110347,0.1674279213077683,0.13846153846153864,0.11284506110737458
deer,0.21315737232009102,0.21035130499499166,0.13587358772464564,0.14624855199872244,0.14800580436430533,0.13831187598647765,0.11321331341318408,0.15520772155537033,0.1877044583891765,0.05521607684777208,0.20589525826204802,0.2227911038309407,0.20171348742737405,0.19915930402729332,0.18454621201873944,0.21249982957490976,0.12960507479332128,0.0,0.040819682374356736,0.2546379965888841,0.20039879457760978,0.252566713303388,0.109706470314621,0.11162329144109662,0.1921753623704644,0.19819982151095306,0.09769918437291081,0.03932926518761137,0.24323218738728147,0.25455009255072747,0.168642790823188,0.25088300051446255,0.21248188642767718,0.1704386442156599,0.15101488255288142,0.09194182379020688,0.20600776385495467,0.2652510371631934,0.15867122872061012,0.12334123073857284,0.13745747079037263,0.1892236008349112,0.14785586752474167,0.14516129032258052,0.1356194702622272,0.10375527432797094,0.1007097164503249,0.10647490422809414,0.11636611734651103,0.09302180455944364,0.22529922529883806,0.14114354598562284,0.16064467299395335,0.29254769874338893,0.17562340268931198,0.0359253979274643,0.0444017630352781,0.03251595710844546,0.16714945558911143,0.08401295966344813,0.11099911099866677,0.14376531843657303,0.1328514502454089,0.2494013886827381,0.17167893180983063,0.07080147601448417,0.15131577568752674,0.21125427692557197,0.14788532087151973,0.20865887546688755,0.20973667108219052,0.1476136439383844
dryer,0.14571785702966988,0.14541697767920403,0.13888888888888873,0.09884488742905562,0.08205787022101008,0.14457742161512965,0.09390995435740268,0.17173369394480809,0.1209078374237259,0.08486079011836478,0.17173369394480809,0.19888996627448652,0.15434282689628365,0.146874815372819,0.16594453331605308,0.1672832655918859,0.10066592683923659,0.040819682374356736,0.0,0.14840835294530197,0.21971267176331677,0.17850164299507099,0.09806999292325125,0.0865858568943676,0.21441559515042752,0.126295943338962,0.06679844623516085,0.056982160270490634,0.21807094728596932,0.22405971020101467,0.20021882749310782,0.23115701952900125,0.17512382021656703,0.16666666666666652,0.17330021187704414,0.13009974284455816,0.20346812482549426,0.22582577540481974,0.1689316495169585,0.09856969590696829,0.12396721004629363,0.1346331024761711,0.1365375654456501,0.1704386442156598,0.11349599225818663,0.05978567539604229,0.06085236658600102,0.1078520132270484,0.09077916714174794,0.07703731437960115,0.20391583359546706,0.14075984102600803,0.12444142988246742,0.21826404002942812,0.12499999999999978,0.03405727065654107,0.025288343113538114,0.04578745411003271,0.09220025402742082,0.10510708275608027,0.08144134645630818,0.11922898789891123,0.14230997212976393,0.26753163823268167,0.14476844077144946,0.10182461473963267,0.14044964333527354,0.1689316495169586,0.09115247478370814,0.15667307299577005,0.1917096231345239,0.0719223496926561
fire,0.15282207434893735,0.23206439989368044,0.27831216351296784,0.2006574289697206,0.18679378517740852,0.23801609660928624,0.16769217328685404,0.21920167924161427,0.1617984620738172,0.2266263541363045,0.23801609660928635,0.21920167924161438,0.161573388021665,0.22228622895218086,0.21259921259881898,0.23076923076923073,0.18461538461538463,0.2546379965888841,0.14840835294530197,0.0,0.18380163239510316,0.11261441102494862,0.09873734781083532,0.14167629840509666,0.19115602776025375,0.1777737661423312,0.10445334192243605,0.23178477027902034,0.1994340769796349,0.16199642005537973,0.29047575268053993,0.1859193696400382,0.31026950528499475,0.2013321276210177,0.2478285403168341,0.27008201210115657,0.2523275553378722,0.29999999999999993,0.2290389423706588,0.12687174986920113,0.2103974276750218,0.195905997921198,0.2058056403807289,0.30851958719691674,0.20705580007059732,0.21114911783930013,0.15109129181516745,0.1557682351822619,0.11258505454761347,0.13943540127923648,0.13732972695241197,0.17048493799374687,0.12104206596195444,0.18144158498743723,0.168615612366939,0.15882166366428685,0.12824903284038836,0.226270671138461,0.18983727784868032,0.29000000000000015,0.2221825406947977,0.2276953027110703,0.21079481274752954,0.17411913212570884,0.15703083394149409,0.22577517233710898,0.20598139231613044,0.17048493799374687,0.10797028232888284,0.24331723467529032,0.15000000000000013,0.12226617550269447
