,baby,badge,ball,baseball,bell,bike,binoculars,blind,bubble,cape,cheese,cigar,coconut,crayon,dart,donkey,drill,earplug,foam,freezer,goose,guitar,hair,handle,hat,heater,hole,honey,hose,lantern,lego,magnet,mailbox,makeup,marble,microphone,motorcycle,muffin,painting,pants,pear,perfume,petal,pie,puppet,rabbit,raincoat,saddle,sand,satellite,seagull,seahorse,shield,ski,skin,spaghetti,stair,submarine,sunflower,swan,switch,table,tea,teapot,thorn,tie,toast,treadmill,triangle,velcro,yogurt,zipper
cheese,0.25335019895224997,0.10123182816783527,0.24655766909439625,0.1423750812249155,0.19604851637006204,0.27217550794431933,0.16124852123725897,0.1687776602226524,0.2303707901219415,0.21352185731408813,0.0,0.16488725640816426,0.2571406281378872,0.235692296319165,0.13590888270692558,0.2656570344970075,0.17950483394458638,0.17909097604194668,0.33691120501732374,0.09365157816773195,0.19304673439075393,0.19567238323114045,0.24730845192431816,0.17070658703385677,0.15294955063037363,0.1260590601741951,0.35492742525278165,0.25246608741186305,0.2724124995831214,0.18356410032395942,0.3275468707417014,0.19884345186632046,0.13954257961156902,0.2471226732535401,0.2520839929725578,0.2622961583399056,0.1846487453369291,0.23797326385836426,0.1814892417694367,0.08965169414444552,0.1917618632103527,0.2786160280058839,0.13106812454569505,0.2911189695929677,0.18819180552446912,0.15928166986177883,0.2204293330799163,0.09977705167069839,0.08776146292706022,0.11094488587068763,0.11703451759352645,0.10879575014924758,0.04000705236054214,0.09210704426119976,0.08488338248870164,0.09624104368453856,0.06896551724137934,0.15776511238768431,0.13875327084898625,0.1784689068682167,0.04688463319915959,0.15382973097386865,0.10564840610886961,0.12389536172069626,0.18392832896797295,0.20384771573674443,0.10134057025454457,0.14903216737441038,0.22437105524567924,0.2247104465906844,0.27466181136098,0.08217025144226497
cigar,0.1321955089632333,0.1896840014679142,0.16792653555050363,0.09974402306581942,0.1786142150676321,0.09759759489249498,0.06481535754487455,0.125500463216918,0.16201687004253407,0.11813834082778485,0.16488725640816426,0.0,0.09230486678058769,0.035829289545222465,0.10406608030907938,0.09538967612751614,0.10138067891402813,0.040362842915071195,0.17471445444408806,0.09986150650068082,0.10280795792009134,0.015811272681712008,0.07057215508849335,0.12339631365117276,0.1467696207905258,0.09801359912141294,0.12959848356581494,0.10239866399481545,0.09245662858274828,0.24279255417498458,0.0781306116237277,0.14514958573488956,0.08482963448586689,0.12929180025182851,0.11985789085158738,0.05837783499321858,0.046697287843833424,0.19150383010320138,0.10189216081351515,0.23986351480722778,0.10583150089009374,0.23245184641122574,0.13828909526735278,0.11556417946366893,0.20939175791858244,0.07697380784439867,0.041387128525908645,0.11466450310698384,0.19068527839543192,0.0795529053641576,0.04633393424587262,0.06113402474510432,0.12970280267702572,0.10095965613071767,0.10694511086477165,0.0786128014075772,0.12022882092196996,0.15374126524221554,0.0793820965239268,0.0745108242529513,0.11193605709408339,0.08867403338963187,0.10011334982088116,0.15203593106726687,0.12058772300330256,0.056640765939978355,0.11935425602116723,0.1134762635628751,0.03697786888747068,0.0438945393828869,0.055703038815369865,0.13066951475425792
coconut,0.17572500237561306,0.2499077905645235,0.1766706925783682,0.14832116739346246,0.23303501115262948,0.07600759207435015,0.07291345810662209,0.16643522379334075,0.13730665671513542,0.09533745393619875,0.2571406281378872,0.09230486678058769,0.0,0.07418588749459543,0.16318714489098385,0.05121101673799011,0.23296497188588883,0.07933931382337855,0.1403111861191194,0.259968204180706,0.10155844272768089,0.06823331352953621,0.1207663650561982,0.12313502789919362,0.11845692860516965,0.07437977503542814,0.09837411716014455,0.06411257114708069,0.0808692846716006,0.272288591182379,0.07698459478435116,0.10128810332271032,0.10582092006960031,0.08117690205954364,0.14341681446340715,0.05291975623104772,0.03704591663105117,0.14441337682798616,0.10556671951107088,0.2582710654843412,0.17667069257836832,0.23058405834971363,0.13516867115894093,0.12565991271399768,0.12606587856879303,0.11361534909464188,0.053792824054592625,0.17876542357972014,0.25369147549159865,0.12620586349297847,0.08591582875384907,0.13391043905699018,0.22008624833885249,0.12999909625897965,0.135294117647059,0.07891546147386841,0.22484239457866484,0.15633851226789275,0.11505375546541197,0.10886721132099308,0.18992624790025014,0.1160265678609056,0.14082736077621016,0.13975504048304277,0.16992668700971958,0.09184116188437341,0.1161853349680606,0.18673067484963846,0.06029852120050894,0.09105749874470337,0.036876586021159174,0.2215795638922755
crayon,0.09766744171874842,0.21211795424177782,0.15783919083345932,0.10145235919466467,0.159456459556795,0.09133425461896916,0.052767142081196705,0.09875711763817363,0.13478410301753263,0.10631702100261597,0.235692296319165,0.035829289545222465,0.07418588749459543,0.0,0.11767739785427778,0.07371196991876039,0.1114163807364481,0.04084238227086656,0.1528012307108393,0.16525925449476364,0.1754202835193619,0.025340470625974998,0.05972983858028269,0.08592334718104422,0.13407592599083284,0.09471574080859801,0.11434893763560938,0.04349709541366198,0.11628874094031083,0.19596746174862523,0.06372984708570317,0.09195910963481513,0.07186123157297941,0.08338099632410545,0.07631259110454314,0.02951131783123051,0.03593414196469458,0.13587545068709717,0.05834218682410153,0.2460876437069186,0.09768484732156402,0.2222974218430548,0.12222770348959877,0.08567541545122515,0.19410021824186285,0.060061502446867476,0.020808269356424658,0.12351045633604074,0.1931298271316938,0.0798295236786486,0.06624530835182219,0.10800742268017738,0.16131681398579167,0.16176931263994432,0.13328040531408947,0.09137487427403745,0.1635877959719163,0.11649534526747596,0.08745785506518788,0.07602590162552658,0.18619439776442948,0.06365053417798139,0.09371278783042103,0.1481821394534074,0.11351458499912714,0.03910140717261912,0.16065781902718101,0.09642686364053443,0.012778563841399082,0.05815540554423715,0.06175967636784918,0.17789063867075827
dart,0.21172542119246118,0.12858569393713748,0.14386273618493073,0.11498695950769589,0.14885779856036618,0.21303593677674615,0.09875439400251251,0.06942837763228127,0.15410792212144642,0.21739130434782605,0.13590888270692558,0.10406608030907938,0.16318714489098385,0.11767739785427778,0.0,0.1833017402792937,0.07840362150663038,0.09993008153612304,0.2799069489089244,0.14427490031888357,0.2083798865035883,0.08129924203038419,0.17532367305622332,0.08662286798114138,0.13147374593005212,0.13147374593005212,0.24890648393545556,0.18361933166534206,0.22492940316235976,0.0910723762106489,0.2118509288831084,0.1063667968982509,0.11097584552507056,0.20920607232363353,0.11244257209168929,0.158591655944474,0.11018804882983624,0.195198053181039,0.1307498557926442,0.09832441829095495,0.115085013031483,0.2921948415753879,0.09159169949684409,0.21855763237904524,0.15997106590238885,0.050378976529709796,0.10750188416070017,0.06710354554988907,0.06231492060044774,0.06617006430339423,0.11250371638290624,0.12311189052214733,0.0972450192970703,0.18575822476854542,0.11795401758779378,0.10506126924365355,0.06347010640690742,0.12272036087836202,0.10550529741822379,0.0926805064113001,0.15183193275920204,0.09699412196071056,0.08125284534544097,0.07977275533801842,0.07813697625400717,0.11240310988282876,0.06956659577237745,0.06678663128983986,0.11193580638367862,0.14939918931943463,0.1805491079032533,0.14386273618493073
donkey,0.15388588777335077,0.21620781898624297,0.23720628158442658,0.18198685884104848,0.24466585080864012,0.05205054207992432,0.07217807557593969,0.15112562411213448,0.15813736610080054,0.09255748919921536,0.2656570344970075,0.09538967612751614,0.05121101673799011,0.07371196991876039,0.1833017402792937,0.0,0.2430845550993096,0.09071772349110097,0.22143867861437438,0.28113537596610017,0.12549988814591972,0.06344298762266742,0.18634341578462166,0.13736924373809611,0.14522307478376317,0.09806296856493624,0.19755363660348735,0.0840274409508206,0.180987090588832,0.26097958969943036,0.1334746568998857,0.07987524709131144,0.099990947508384,0.08375218949715546,0.15497347249919513,0.09316828471664063,0.08387616493855043,0.1702384320308412,0.08891352583198953,0.2682460373047695,0.22519378208181928,0.23484848484848486,0.18080430118524593,0.13220498859570406,0.1753608023751756,0.13682388081223185,0.09878444738746694,0.2035535954563662,0.24712039656896,0.1558120958169632,0.0923684583647929,0.21233243247450362,0.21548593673388117,0.12426362904174071,0.12673650794292624,0.09809889151956308,0.28293569250884276,0.15066871224260403,0.16869409960486614,0.13658665529426894,0.22999977445004116,0.13631217467220846,0.13818718334163493,0.15010128621613972,0.24388733081781222,0.10589153734331558,0.21197283049911375,0.1981438851572379,0.053714456368847974,0.1522579008527023,0.06812278557560258,0.22519378208181928
drill,0.18529463249965206,0.19173982744858398,0.11633410978869385,0.09897076638540991,0.10311220685159117,0.258047314291188,0.12749512664527662,0.0745707660656868,0.18262839377954632,0.24279648902166384,0.17950483394458638,0.10138067891402813,0.23296497188588883,0.1114163807364481,0.07840362150663038,0.2430845550993096,0.0,0.07098882461025346,0.27502932163666494,0.10777881680041923,0.25240110380696723,0.09866246760685504,0.1253928017451944,0.11753016077216671,0.23625795293379837,0.1844788310988017,0.21524799512630666,0.19449800851929644,0.22994139799331037,0.11977318592676922,0.16308761780674597,0.1740566229904703,0.12825434595163365,0.23450061576319448,0.11375168994973017,0.159035406840767,0.1319059819497569,0.2340888647655246,0.1247188850019203,0.20041978769616353,0.08995602351373022,0.29714994402078754,0.12413544765384976,0.24993150997657076,0.2803174590123918,0.10109111059577536,0.09881680811858073,0.10233145425201562,0.1311106016671656,0.1136484875385464,0.10922603267183117,0.12161997048284545,0.0854184394052222,0.23348244255236295,0.13967692792606456,0.15917808375793818,0.07516440820343562,0.1485709032166478,0.12130714882006588,0.1392584384072042,0.1673283981672984,0.09408278887297783,0.12001391850432774,0.19725460696183295,0.06606007063429675,0.15279638387366434,0.15127103669583397,0.030735032451372102,0.11409437265071176,0.10246914045498323,0.18797751754710157,0.1427121960636587
earplug,0.07646682039323249,0.1554052561159518,0.07884783924796346,0.04545044095075157,0.0859465590514078,0.07688463187739258,0.038159813591329916,0.06494155702091375,0.07793156977815852,0.077239243255521,0.17909097604194668,0.040362842915071195,0.07933931382337855,0.04084238227086656,0.09993008153612304,0.09071772349110097,0.07098882461025346,0.0,0.12927349737407845,0.11425571619790353,0.10973618548054831,0.02983622503311434,0.07045302440002865,0.08221895188979644,0.13521605034836326,0.07625350832666078,0.11551503565595789,0.08093994758645195,0.1174522849064844,0.18052663245167488,0.0649625930487806,0.08797271414741381,0.03814405979453395,0.06915957412692564,0.05913190778049959,0.04402066571463059,0.03056350935374419,0.12477225825212834,0.050751810770051975,0.19455100484156185,0.05882279227509357,0.14754786577290713,0.06971302550904268,0.09713905016506441,0.13641396169431141,0.04894775044256705,0.03392699366741059,0.1011655519675485,0.17279907030825437,0.07719605546610875,0.03659642252623685,0.08858491932010826,0.10364360278781293,0.1220375096594255,0.09507710333067132,0.052537598646452355,0.12148332523787264,0.08687926664421297,0.06986883072568173,0.08165756576823624,0.12276319366109978,0.03519714280917774,0.08053948603602012,0.11527583840766331,0.0996763880424768,0.07099317882567102,0.11797444125213441,0.055449108351895315,0.03168413807489012,0.03186560306622954,0.056830509897286996,0.09887288622083412
foam,0.1264293027317347,0.26767245691355,0.1248931689148085,0.10749306588072893,0.1848021260831928,0.14532399161536735,0.14218355308156183,0.20397479305414923,0.12205509670858739,0.15005410363020588,0.33691120501732374,0.17471445444408806,0.1403111861191194,0.1528012307108393,0.2799069489089244,0.22143867861437438,0.27502932163666494,0.12927349737407845,0.0,0.19843270933907864,0.16631983084975033,0.18776326924514797,0.14137652274363344,0.20336328643831925,0.2331252264077609,0.20245023546407126,0.13294194802467296,0.14161274640918364,0.10526294334346442,0.3476334766755007,0.12065005672122919,0.1750553036946516,0.12109033487593746,0.09300560354451526,0.11400970618926509,0.05521878381410439,0.0932155596775488,0.0925177444354004,0.15932013222869823,0.30768769767068405,0.12489316891480862,0.09332099281673989,0.17165386995694165,0.11929515407202085,0.16562906127551502,0.142166184250077,0.12610006604154833,0.23898035259195327,0.3210897606509192,0.20786057118971413,0.1807205130478261,0.1641934266568248,0.30051206857698876,0.2670660461156563,0.2508426050466612,0.1530228167481157,0.2694784462055262,0.13530796945252954,0.12018825957083268,0.1317568578755407,0.23489502101744908,0.14285075392107638,0.2600599266040564,0.23716881165527737,0.192028607892068,0.18739931199779292,0.20918194623135433,0.20367158367985727,0.15917564621890923,0.08337296122952587,0.14371602077473833,0.18740079970660806
freezer,0.16490474482665607,0.1628729743264291,0.18580882578449287,0.09485795548818177,0.16240469305480487,0.2476881815261559,0.14548558479133644,0.15849033439023164,0.19217506021134556,0.20845428279496736,0.09365157816773195,0.09986150650068082,0.259968204180706,0.16525925449476364,0.14427490031888357,0.28113537596610017,0.10777881680041923,0.11425571619790353,0.19843270933907864,0.0,0.15802826135984205,0.15043870970664397,0.16162121189006895,0.18792089065992557,0.22868295395846172,0.17309253622573828,0.2660297942758648,0.22219853151455848,0.19992887940600246,0.23387470125198828,0.23287177120249392,0.2231878191355262,0.12221911509041927,0.21451948781832186,0.16001960304154395,0.16262750781604085,0.1454786904332227,0.19935173296913244,0.1726825331028371,0.17870905196443476,0.10084974673591873,0.18290542734034998,0.15243424454790633,0.2237404123822878,0.23149798906506192,0.11352866578097043,0.1523775540191401,0.11518417119382796,0.15287537085752756,0.12453442309514096,0.1047949580546742,0.0678884027669181,0.09602765976893157,0.14096773912648097,0.14312107852502776,0.12245057367290568,0.07328419790183827,0.13668326236908634,0.09981183082002798,0.12585324252375252,0.08323294861616204,0.1253607143233506,0.1263518477606398,0.1819149445841607,0.1405563427753338,0.18428029009489355,0.13745518095573372,0.11443836082110792,0.17586691719799097,0.11427104062603677,0.2197453851992176,0.0725300537197272
